Grant Number,Title
RFA-HG-11-013,technology development for high-throughput functional genomics (r01)
RFA-AT-09-002,translational tools for clinical studies of cam interventions (r01)
RFA-AI-13-009,genomic centers for infectious diseases (u19)
RFA-AI-08-066,resources to assist investigations in primary immunodeficiency diseases (u24)
RFA-DK-12-023,silvio o. conte digestive diseases research core centers (p30)
RFA-AI-12-033,u.s. india bilateral collaborative research partnerships (crp) on the prevention of hiv/aids and co-morbidities (r21)
RFA-GM-12-002,research to understand and inform interventions that promote the research careers of students in biomedical and behavioral sciences (r01)
RFA-DA-10-012,2010 nida avant-garde award program for hiv/aids research (dp1)
RFA-AA-11-003,"niaaa collaborative centers for hiv/aids and alcohol outcomes research (u01, u24)"
RFA-RM-09-001,2009 nih directorâs pioneer award program (dp1)
RFA-MH-14-217,brain initiative: planning for next generation human brain imaging (r24)
RFA-HL-13-022,limited competition: data coordinating center for cardiothoracic surgical trials network (ctsn) (u01)
RFA-TW-13-001,limited competition: international cooperative biodiversity groups (u19)
RFA-HL-13-017,"core clinical centers for the cardiothoracic surgical trials network, ctsn (um1)"
RFA-HL-13-027,functional assays to screen genomic hits (r21/r33)
RFA-DA-13-009,translational research on interventions for adolescents in the legal system: trials (u01)
RFA-HL-12-033,understanding mechanisms of terminal erythroid maturation (r01)
RFA-AG-13-019,alzheimer's disease research centers (p50)
RFA-CA-09-018,early detection research network: clinical validation centers (u01)
RFA-HL-12-012,ancillary studies in clinical trials (r01)
RFA-HL-11-024,short-term research education program to increase diversity in health-related research (r25)
RFA-MD-10-005,ncmhd advances in health disparities research on social determinants of health (r01)
RFA-HS-14-001,rapid secondary analysis to optimize care for patients with multiple chronic conditions (r01)
RFA-DK-12-508,limited competition for the continuation of the chronic renal insufficiency cohort (cric) study (u01)
RFA-FD-12-008,iso/iec 17025:2005 accreditation for state food testing laboratories (u18)
RFA-EY-10-001,nei ruth l. kirschstein national research service award (nrsa) institutional research training grants (t32) for statistical genetics and genome informatics
RFA-CA-11-011,research answers to nciâs provocative questions (r01)
RFA-AI-12-021,u.s.-china program for biomedical collaborative research (r01)
RFA-HL-08-013,translating basic behavioral and social science discoveries into interventions to reduce obesity: centers for behavioral intervention development (u01)
RFA-DK-08-010,intestinal stem cell consortium (u01)
RFA-ES-11-007,identification of biomarkers for early detection of environmentally-induced mitochondrial dysfunction (r01)
RFA-RM-12-005,"human heredity and health in africa (h3africa): ethical, legal, and societal issues (elsi) research program (u01)"
RFA-DA-13-004,synthesis and preclinical evaluation of medications to treat substance use disorders (suds) (r01)
RFA-AI-10-004,consortia for aids vaccine research in nonhuman primates (p01)
RFA-GM-13-001,dynamics of host-associated microbial communities (r01)
RFA-RM-10-002,â science of behavior change: finding mechanisms of change in the laboratory and the field (r01)
RFA-CA-13-007,collaborative human tissue network (chtn) (um1)
RFA-AR-11-001,rheumatic diseases research core centers (p30)
RFA-ES-12-002,environmental health sciences (ehs) core centers (p30)
RFA-DK-13-011,"continuation of children, the childhood liver disease research network (u01)"
RFA-NS-12-007,stroke prevention/intervention research program (spirp) (u54)
RFA-AI-12-020,"partnerships for interventions to treat chronic, persistent and latent infections (r21/r33)"
RFA-HL-12-013,genomic research in aat-deficiency and sarcoidosis study (grads) cooperative research project grant: clinical centers (u01)
RFA-RR-11-005,instrument development for biomedical applications (r21)
RFA-HL-12-001,heart failure clinical research network regional clinical centers (u10)
RFA-DA-14-006,substance use disorders and molecular regulation of brain energy utilization (r21)
RFA-HG-09-003,"centers (p50) and exploratory grants for centers (p20) for excellence in ethical, legal and social implications (elsi) research (ceers)"
RFA-HD-13-009,prevention of hiv transmission/acquisition through a better understanding of reproductive health (r03)
RFA-DK-12-009,george m. o brien urology cooperative research centers program (u54)
RFA-AI-10-019,"â genomics of transplantation cooperative research program (u01, u19)"
RFA-AA-11-002,: â alcohol-induced metabolic and hepatic injury (aimhi) (r01)
RFA-AI-13-038,innovative assays to quantify the latent hiv reservoir (r21)
RFA-AI-11-024,improved diagnostic capabilities for select biodefense and emerging pathogens (r21/r33)
RFA-MH-13-021,neural processes underlying sex differences related to risk and resilience for mental illness (r21)
RFA-FD-14-009,dissolution methods for suspension and emulsion ocular drug products)
RFA-RM-12-018,nih director's early independence awards (dp5)
RFA-FD-12-013,food protection rapid response teams (u18)
RFA-FD-12-026,"building the capacity of food safety entities to protect public health in response to a notification under section 1008 of the federal food, drug, and cosmetic act or a recall of foods (u18)"
RFA-DK-11-011,niddk short-term education program for underrepresented persons (step-up) (r25)
RFA-AG-14-001,dose response and efficacy studies on the effects of vitamin d supplementation on functional outcomes in elderly (u01)
RFA-MH-14-214,exceptional unconventional research enabling knowledge acceleration (eureka) for neuroscience and disorders of the nervous system (r01)
RFA-AI-11-033,predictive biodosimetry: discovery and development of biomarkers for acute and delayed radiation injuries (r01)
RFA-AG-14-017,planning grants for alzheimer's disease translational centers for predictive drug development (r34)
RFA-AG-11-004,â regional and international differences in health and longevity at older ages (r01)
RFA-DK-11-004,cystic fibrosis research and translation core centers (p30)
RFA-AI-12-028,understanding the functions of uncharacterized genes in infectious disease pathogens (u19)
RFA-AG-13-009,secondary analyses and archiving of social and behavioral datasets in aging (r03)
RFA-DK-07-011,hepatitis b clinical research network (u01)
RFA-DA-10-013,2010 nida translational avant-garde award for medication development for diseases of addiction (dp1)
RFA-DA-11-001,"seek, test, treat, and retain: addressing hiv among vulnerable populations (r01)"
RFA-MH-14-101,services research for autism spectrum disorder across the lifespan (servasd): pilot research on services for transition-age youth (r34)
RFA-CA-09-019,the early detection research network: biomarker reference laboratories (u24)
RFA-NS-13-015,pilot projects on sports-related brain and spinal cord injury (r03)
RFA-GM-13-006,modeling social behavior (r01)
RFA-AI-10-008,immune defense mechanisms at the mucosa cooperative study group (u01)
RFA-NS-11-007,centers without walls for collaborative research in the epilepsies: genetics and genomics of human epilepsies (u01)
RFA-FD-12-011,limited competition: advancing conformance with the voluntary national retail food regulatory program standards (vnrfrps) (u18)
RFA-MH-13-110,biobehavioral research awards for innovative new scientists (brains) (r01)
RFA-CA-09-022,community clinical oncology program (u10)
RFA-AT-10-002,centers of excellence for research on cam (cerc) for pain (p01)
RFA-NS-14-009,brain initiative: integrated approaches to understanding circuit function in the nervous system (u01)
RFA-MH-14-170,eradication of hiv-1 from cns reservoirs: implications for therapeutics (r01)
RFA-RM-13-013,library of integrated network-based cellular signatures (lincs): perturbation-induced data and signature generation centers (u54)
RFA-CA-13-501,limited competition: adult brain tumor consortium (abtc) (um1)
RFA-DK-09-506,limited competition for the continuation of the adult acute liver failure study group (u01)
RFA-CA-11-002,"sbir phase iib bridge awards to accelerate the development of cancer therapeutics, imaging technologies, interventional devices, diagnostics, and prognostics toward commercialization (r44)"
RFA-HD-10-020,research infrastructure for demographic and behavioral population science (r24)
RFA-HS-12-006,"patient-centered outcomes research -- dissemination by health professionals associations (pcor-dhpa) (r18) note: the policies, guidelines terms and conditions stated in this"
RFA-HD-13-005,specialized cooperative centers program in reproduction and infertility research (u54)
RFA-MH-11-050,biobehavioral research awards for innovative new scientists (brains) (r01)
RFA-DA-10-010,exploring epigenomic processes and non-coding rnas in hiv/aids (r01)
RFA-DA-14-008,fy14 nida avant-garde award program for hiv/aids research (dp1)
RFA-RM-11-015,accelerating the integration and translation of technologies to characterize biological processes at the single cell level (r01)
RFA-AG-14-006,mid-life reversibility of early-established biobehavioral risk factors (r01)
RFA-FD-13-030,in vitro-in vivo correlations of parenteral microsphere drug products (u01)
RFA-ES-07-005,outstanding new environmental scientist award (ones) (r01)
RFA-AG-12-004,paul b. beeson patient-oriented research career development award in aging (k23)
RFA-RM-13-010,adaptation of scalable technologies to illuminate the druggable genome (u01)
RFA-AI-12-006,asthma and allergic diseases cooperative research centers (u19)
RFA-AG-11-001,â cell lineage determination and tissue homeostasis in the aged (r01)
RFA-DK-10-013,optimizing recovery and preservation of endogenous insulin secretion in individuals with prediabetes or recent onset of type 2 diabetes (u01)
RFA-RR-10-005,â pathobiology of emerging pathogens in laboratory animals (r01)
RFA-GM-14-001,dynamics of host-associated microbial communities (r01)
RFA-AI-10-003,â partnerships for biodefense (r01)
RFA-HS-13-008,ahrq patient centered outcomes research (pcor) institutional mentored career development program (k12)
